wordSet,word,wordAccent,wordAccentStep,carrier,carrierAccent,carrierAccentStep,textOption_0,textOption_1,option_0,option_1,sound
hanaAdetaA,hana,A,9,deta,A,7,花,鼻,hanaA,hanaU,hanaA09-detaA07
hanaAdetaA,hana,A,9,deta,A,9,花,鼻,hanaA,hanaU,hanaA09-detaA09
hanaAdetaA,hana,A,9,deta,A,11,花,鼻,hanaA,hanaU,hanaA09-detaA11
hanaAdetaA,hana,A,11,deta,A,1,花,鼻,hanaA,hanaU,hanaA11-detaA01
hanaAdetaA,hana,A,11,deta,A,3,花,鼻,hanaA,hanaU,hanaA11-detaA03
hanaAdetaA,hana,A,11,deta,A,5,花,鼻,hanaA,hanaU,hanaA11-detaA05
hanaAdetaA,hana,A,11,deta,A,6,花,鼻,hanaA,hanaU,hanaA11-detaA06
hanaAdetaA,hana,A,11,deta,A,7,花,鼻,hanaA,hanaU,hanaA11-detaA07
hanaAdetaA,hana,A,11,deta,A,9,花,鼻,hanaA,hanaU,hanaA11-detaA09
hanaAdetaA,hana,A,11,deta,A,11,花,鼻,hanaA,hanaU,hanaA11-detaA11
hanaUdetaU,hana,U,1,deta,U,1,花,鼻,hanaA,hanaU,hanaU01-detaU01
hanaUdetaU,hana,U,1,deta,U,3,花,鼻,hanaA,hanaU,hanaU01-detaU03
hanaUdetaU,hana,U,1,deta,U,5,花,鼻,hanaA,hanaU,hanaU01-detaU05
hanaUdetaU,hana,U,1,deta,U,6,花,鼻,hanaA,hanaU,hanaU01-detaU06
hanaUdetaU,hana,U,1,deta,U,7,花,鼻,hanaA,hanaU,hanaU01-detaU07
hanaUdetaU,hana,U,1,deta,U,9,花,鼻,hanaA,hanaU,hanaU01-detaU09
hanaUdetaU,hana,U,1,deta,U,11,花,鼻,hanaA,hanaU,hanaU01-detaU11
hanaUdetaU,hana,U,3,deta,U,1,花,鼻,hanaA,hanaU,hanaU03-detaU01
hanaUdetaU,hana,U,3,deta,U,3,花,鼻,hanaA,hanaU,hanaU03-detaU03
hanaUdetaU,hana,U,3,deta,U,5,花,鼻,hanaA,hanaU,hanaU03-detaU05
hanaUdetaU,hana,U,3,deta,U,6,花,鼻,hanaA,hanaU,hanaU03-detaU06
hanaUdetaU,hana,U,3,deta,U,7,花,鼻,hanaA,hanaU,hanaU03-detaU07
hanaUdetaU,hana,U,3,deta,U,9,花,鼻,hanaA,hanaU,hanaU03-detaU09
hanaUdetaU,hana,U,3,deta,U,11,花,鼻,hanaA,hanaU,hanaU03-detaU11
hanaUdetaU,hana,U,5,deta,U,1,花,鼻,hanaA,hanaU,hanaU05-detaU01
hanaUdetaU,hana,U,5,deta,U,3,花,鼻,hanaA,hanaU,hanaU05-detaU03
hanaUdetaU,hana,U,5,deta,U,5,花,鼻,hanaA,hanaU,hanaU05-detaU05
hanaUdetaU,hana,U,5,deta,U,6,花,鼻,hanaA,hanaU,hanaU05-detaU06
hanaUdetaU,hana,U,5,deta,U,7,花,鼻,hanaA,hanaU,hanaU05-detaU07
hanaUdetaU,hana,U,5,deta,U,9,花,鼻,hanaA,hanaU,hanaU05-detaU09
hanaUdetaU,hana,U,5,deta,U,11,花,鼻,hanaA,hanaU,hanaU05-detaU11
hanaUdetaU,hana,U,6,deta,U,1,花,鼻,hanaA,hanaU,hanaU06-detaU01
hanaUdetaU,hana,U,6,deta,U,3,花,鼻,hanaA,hanaU,hanaU06-detaU03
hanaUdetaU,hana,U,6,deta,U,5,花,鼻,hanaA,hanaU,hanaU06-detaU05
hanaUdetaU,hana,U,6,deta,U,6,花,鼻,hanaA,hanaU,hanaU06-detaU06
hanaUdetaU,hana,U,6,deta,U,7,花,鼻,hanaA,hanaU,hanaU06-detaU07
hanaUdetaU,hana,U,6,deta,U,9,花,鼻,hanaA,hanaU,hanaU06-detaU09
hanaUdetaU,hana,U,6,deta,U,11,花,鼻,hanaA,hanaU,hanaU06-detaU11
hanaUdetaU,hana,U,7,deta,U,1,花,鼻,hanaA,hanaU,hanaU07-detaU01
hanaUdetaU,hana,U,7,deta,U,3,花,鼻,hanaA,hanaU,hanaU07-detaU03
hanaUdetaU,hana,U,7,deta,U,5,花,鼻,hanaA,hanaU,hanaU07-detaU05
hanaUdetaU,hana,U,7,deta,U,6,花,鼻,hanaA,hanaU,hanaU07-detaU06
hanaUdetaU,hana,U,7,deta,U,7,花,鼻,hanaA,hanaU,hanaU07-detaU07
hanaUdetaU,hana,U,7,deta,U,9,花,鼻,hanaA,hanaU,hanaU07-detaU09
hanaUdetaU,hana,U,7,deta,U,11,花,鼻,hanaA,hanaU,hanaU07-detaU11
hanaUdetaU,hana,U,9,deta,U,1,花,鼻,hanaA,hanaU,hanaU09-detaU01
hanaUdetaU,hana,U,9,deta,U,3,花,鼻,hanaA,hanaU,hanaU09-detaU03
hanaUdetaU,hana,U,9,deta,U,5,花,鼻,hanaA,hanaU,hanaU09-detaU05
hanaUdetaU,hana,U,9,deta,U,6,花,鼻,hanaA,hanaU,hanaU09-detaU06
hanaUdetaU,hana,U,9,deta,U,7,花,鼻,hanaA,hanaU,hanaU09-detaU07
hanaUdetaU,hana,U,9,deta,U,9,花,鼻,hanaA,hanaU,hanaU09-detaU09
hanaUdetaU,hana,U,9,deta,U,11,花,鼻,hanaA,hanaU,hanaU09-detaU11
hanaUdetaU,hana,U,11,deta,U,1,花,鼻,hanaA,hanaU,hanaU11-detaU01
hanaUdetaU,hana,U,11,deta,U,3,花,鼻,hanaA,hanaU,hanaU11-detaU03
hanaUdetaU,hana,U,11,deta,U,5,花,鼻,hanaA,hanaU,hanaU11-detaU05
hanaUdetaU,hana,U,11,deta,U,6,花,鼻,hanaA,hanaU,hanaU11-detaU06
hanaUdetaU,hana,U,11,deta,U,7,花,鼻,hanaA,hanaU,hanaU11-detaU07
hanaUdetaU,hana,U,11,deta,U,9,花,鼻,hanaA,hanaU,hanaU11-detaU09
hanaUdetaU,hana,U,11,deta,U,11,花,鼻,hanaA,hanaU,hanaU11-detaU11
hanaAdetaU,hana,A,1,deta,U,1,花,鼻,hanaA,hanaU,hanaA01-detaU01
hanaAdetaU,hana,A,1,deta,U,3,花,鼻,hanaA,hanaU,hanaA01-detaU03
hanaAdetaU,hana,A,1,deta,U,5,花,鼻,hanaA,hanaU,hanaA01-detaU05
hanaAdetaU,hana,A,1,deta,U,6,花,鼻,hanaA,hanaU,hanaA01-detaU06
hanaAdetaU,hana,A,1,deta,U,7,花,鼻,hanaA,hanaU,hanaA01-detaU07
hanaAdetaU,hana,A,1,deta,U,9,花,鼻,hanaA,hanaU,hanaA01-detaU09
hanaAdetaU,hana,A,1,deta,U,11,花,鼻,hanaA,hanaU,hanaA01-detaU11
hanaAdetaU,hana,A,3,deta,U,1,花,鼻,hanaA,hanaU,hanaA03-detaU01
hanaAdetaU,hana,A,3,deta,U,3,花,鼻,hanaA,hanaU,hanaA03-detaU03
hanaAdetaU,hana,A,3,deta,U,5,花,鼻,hanaA,hanaU,hanaA03-detaU05
hanaAdetaU,hana,A,3,deta,U,6,花,鼻,hanaA,hanaU,hanaA03-detaU06
hanaAdetaU,hana,A,3,deta,U,7,花,鼻,hanaA,hanaU,hanaA03-detaU07
hanaAdetaU,hana,A,3,deta,U,9,花,鼻,hanaA,hanaU,hanaA03-detaU09
hanaAdetaU,hana,A,3,deta,U,11,花,鼻,hanaA,hanaU,hanaA03-detaU11
hanaAdetaU,hana,A,5,deta,U,1,花,鼻,hanaA,hanaU,hanaA05-detaU01
hanaAdetaU,hana,A,5,deta,U,3,花,鼻,hanaA,hanaU,hanaA05-detaU03
hanaAdetaU,hana,A,5,deta,U,5,花,鼻,hanaA,hanaU,hanaA05-detaU05
hanaAdetaU,hana,A,5,deta,U,6,花,鼻,hanaA,hanaU,hanaA05-detaU06
hanaAdetaU,hana,A,5,deta,U,7,花,鼻,hanaA,hanaU,hanaA05-detaU07
hanaAdetaU,hana,A,5,deta,U,9,花,鼻,hanaA,hanaU,hanaA05-detaU09
hanaAdetaU,hana,A,5,deta,U,11,花,鼻,hanaA,hanaU,hanaA05-detaU11
hanaAdetaU,hana,A,6,deta,U,1,花,鼻,hanaA,hanaU,hanaA06-detaU01
hanaAdetaU,hana,A,6,deta,U,3,花,鼻,hanaA,hanaU,hanaA06-detaU03
hanaAdetaU,hana,A,6,deta,U,5,花,鼻,hanaA,hanaU,hanaA06-detaU05
hanaAdetaU,hana,A,6,deta,U,6,花,鼻,hanaA,hanaU,hanaA06-detaU06
hanaAdetaU,hana,A,6,deta,U,7,花,鼻,hanaA,hanaU,hanaA06-detaU07
hanaAdetaU,hana,A,6,deta,U,9,花,鼻,hanaA,hanaU,hanaA06-detaU09
hanaAdetaU,hana,A,6,deta,U,11,花,鼻,hanaA,hanaU,hanaA06-detaU11
hanaAdetaU,hana,A,7,deta,U,1,花,鼻,hanaA,hanaU,hanaA07-detaU01
hanaAdetaU,hana,A,7,deta,U,3,花,鼻,hanaA,hanaU,hanaA07-detaU03
hanaAdetaU,hana,A,7,deta,U,5,花,鼻,hanaA,hanaU,hanaA07-detaU05
hanaAdetaU,hana,A,7,deta,U,6,花,鼻,hanaA,hanaU,hanaA07-detaU06
hanaAdetaU,hana,A,7,deta,U,7,花,鼻,hanaA,hanaU,hanaA07-detaU07
hanaAdetaU,hana,A,7,deta,U,9,花,鼻,hanaA,hanaU,hanaA07-detaU09
hanaAdetaU,hana,A,7,deta,U,11,花,鼻,hanaA,hanaU,hanaA07-detaU11
hanaAdetaU,hana,A,9,deta,U,1,花,鼻,hanaA,hanaU,hanaA09-detaU01
hanaAdetaU,hana,A,9,deta,U,3,花,鼻,hanaA,hanaU,hanaA09-detaU03
hanaAdetaU,hana,A,9,deta,U,5,花,鼻,hanaA,hanaU,hanaA09-detaU05
hanaAdetaU,hana,A,9,deta,U,6,花,鼻,hanaA,hanaU,hanaA09-detaU06
hanaAdetaU,hana,A,9,deta,U,7,花,鼻,hanaA,hanaU,hanaA09-detaU07
hanaAdetaU,hana,A,9,deta,U,9,花,鼻,hanaA,hanaU,hanaA09-detaU09
hanaAdetaU,hana,A,9,deta,U,11,花,鼻,hanaA,hanaU,hanaA09-detaU11
hanaAdetaU,hana,A,11,deta,U,1,花,鼻,hanaA,hanaU,hanaA11-detaU01
hanaAdetaU,hana,A,11,deta,U,3,花,鼻,hanaA,hanaU,hanaA11-detaU03
hanaAdetaU,hana,A,11,deta,U,5,花,鼻,hanaA,hanaU,hanaA11-detaU05
hanaAdetaU,hana,A,11,deta,U,6,花,鼻,hanaA,hanaU,hanaA11-detaU06
hanaAdetaU,hana,A,11,deta,U,7,花,鼻,hanaA,hanaU,hanaA11-detaU07
hanaAdetaU,hana,A,11,deta,U,9,花,鼻,hanaA,hanaU,hanaA11-detaU09
hanaAdetaU,hana,A,11,deta,U,11,花,鼻,hanaA,hanaU,hanaA11-detaU11
hanaUdetaA,hana,U,1,deta,A,1,花,鼻,hanaA,hanaU,hanaU01-detaA01
hanaUdetaA,hana,U,1,deta,A,3,花,鼻,hanaA,hanaU,hanaU01-detaA03
hanaUdetaA,hana,U,1,deta,A,5,花,鼻,hanaA,hanaU,hanaU01-detaA05
hanaUdetaA,hana,U,1,deta,A,6,花,鼻,hanaA,hanaU,hanaU01-detaA06
hanaUdetaA,hana,U,1,deta,A,7,花,鼻,hanaA,hanaU,hanaU01-detaA07
hanaUdetaA,hana,U,1,deta,A,9,花,鼻,hanaA,hanaU,hanaU01-detaA09
hanaUdetaA,hana,U,1,deta,A,11,花,鼻,hanaA,hanaU,hanaU01-detaA11
hanaUdetaA,hana,U,3,deta,A,1,花,鼻,hanaA,hanaU,hanaU03-detaA01
hanaUdetaA,hana,U,3,deta,A,3,花,鼻,hanaA,hanaU,hanaU03-detaA03
hanaUdetaA,hana,U,3,deta,A,5,花,鼻,hanaA,hanaU,hanaU03-detaA05
hanaUdetaA,hana,U,3,deta,A,6,花,鼻,hanaA,hanaU,hanaU03-detaA06
hanaUdetaA,hana,U,3,deta,A,7,花,鼻,hanaA,hanaU,hanaU03-detaA07
hanaUdetaA,hana,U,3,deta,A,9,花,鼻,hanaA,hanaU,hanaU03-detaA09
hanaUdetaA,hana,U,3,deta,A,11,花,鼻,hanaA,hanaU,hanaU03-detaA11
hanaUdetaA,hana,U,5,deta,A,1,花,鼻,hanaA,hanaU,hanaU05-detaA01
hanaUdetaA,hana,U,5,deta,A,3,花,鼻,hanaA,hanaU,hanaU05-detaA03
hanaUdetaA,hana,U,5,deta,A,5,花,鼻,hanaA,hanaU,hanaU05-detaA05
hanaUdetaA,hana,U,5,deta,A,6,花,鼻,hanaA,hanaU,hanaU05-detaA06
hanaUdetaA,hana,U,5,deta,A,7,花,鼻,hanaA,hanaU,hanaU05-detaA07
hanaUdetaA,hana,U,5,deta,A,9,花,鼻,hanaA,hanaU,hanaU05-detaA09
hanaUdetaA,hana,U,5,deta,A,11,花,鼻,hanaA,hanaU,hanaU05-detaA11
hanaUdetaA,hana,U,6,deta,A,1,花,鼻,hanaA,hanaU,hanaU06-detaA01
hanaUdetaA,hana,U,6,deta,A,3,花,鼻,hanaA,hanaU,hanaU06-detaA03
hanaUdetaA,hana,U,6,deta,A,5,花,鼻,hanaA,hanaU,hanaU06-detaA05
hanaUdetaA,hana,U,6,deta,A,6,花,鼻,hanaA,hanaU,hanaU06-detaA06
hanaUdetaA,hana,U,6,deta,A,7,花,鼻,hanaA,hanaU,hanaU06-detaA07
hanaUdetaA,hana,U,6,deta,A,9,花,鼻,hanaA,hanaU,hanaU06-detaA09
hanaUdetaA,hana,U,6,deta,A,11,花,鼻,hanaA,hanaU,hanaU06-detaA11
hanaUdetaA,hana,U,7,deta,A,1,花,鼻,hanaA,hanaU,hanaU07-detaA01
hanaUdetaA,hana,U,7,deta,A,3,花,鼻,hanaA,hanaU,hanaU07-detaA03
hanaUdetaA,hana,U,7,deta,A,5,花,鼻,hanaA,hanaU,hanaU07-detaA05
hanaUdetaA,hana,U,7,deta,A,6,花,鼻,hanaA,hanaU,hanaU07-detaA06
hanaUdetaA,hana,U,7,deta,A,7,花,鼻,hanaA,hanaU,hanaU07-detaA07
hanaUdetaA,hana,U,7,deta,A,9,花,鼻,hanaA,hanaU,hanaU07-detaA09
hanaUdetaA,hana,U,7,deta,A,11,花,鼻,hanaA,hanaU,hanaU07-detaA11
hanaUdetaA,hana,U,9,deta,A,1,花,鼻,hanaA,hanaU,hanaU09-detaA01
hanaUdetaA,hana,U,9,deta,A,3,花,鼻,hanaA,hanaU,hanaU09-detaA03
hanaUdetaA,hana,U,9,deta,A,5,花,鼻,hanaA,hanaU,hanaU09-detaA05
hanaUdetaA,hana,U,9,deta,A,6,花,鼻,hanaA,hanaU,hanaU09-detaA06
hanaUdetaA,hana,U,9,deta,A,7,花,鼻,hanaA,hanaU,hanaU09-detaA07
hanaUdetaA,hana,U,9,deta,A,9,花,鼻,hanaA,hanaU,hanaU09-detaA09
hanaUdetaA,hana,U,9,deta,A,11,花,鼻,hanaA,hanaU,hanaU09-detaA11
hanaUdetaA,hana,U,11,deta,A,1,花,鼻,hanaA,hanaU,hanaU11-detaA01
hanaUdetaA,hana,U,11,deta,A,3,花,鼻,hanaA,hanaU,hanaU11-detaA03
hanaUdetaA,hana,U,11,deta,A,5,花,鼻,hanaA,hanaU,hanaU11-detaA05
hanaUdetaA,hana,U,11,deta,A,6,花,鼻,hanaA,hanaU,hanaU11-detaA06
hanaUdetaA,hana,U,11,deta,A,7,花,鼻,hanaA,hanaU,hanaU11-detaA07
hanaUdetaA,hana,U,11,deta,A,9,花,鼻,hanaA,hanaU,hanaU11-detaA09
hanaUdetaA,hana,U,11,deta,A,11,花,鼻,hanaA,hanaU,hanaU11-detaA11
